year,commodity,acres_planted,acres_harvested,production,yield,price_per_bushel
1887,Oats,,26.27,696.18,26.5,
1888,Oats,,27.81,773.14,27.8,
1889,Oats,,28.7,831.05,29,
1890,Oats,,28.28,609.12,21.5,
1891,Oats,,27.76,836.79,30.1,
1892,Oats,,28.17,721.82,25.6,
1893,Oats,,29.27,707.13,24.2,
1894,Oats,,29.56,750.01,25.4,
1895,Oats,,30.91,924.86,29.9,
1896,Oats,,30.25,774.93,25.6,
1897,Oats,,28.83,829.53,28.8,
1898,Oats,,29.33,842.21,28.7,
1899,Oats,,29.25,937.17,32,
1900,Oats,,31.05,945.48,30.5,
1901,Oats,,30.89,799.81,25.9,
1902,Oats,,31.36,"1,076.90",34.3,
1903,Oats,,32.19,885.47,27.5,
1904,Oats,,32.75,"1,011.56",30.9,
1905,Oats,,33.43,"1,104.40",33,
1906,Oats,,33.69,"1,022.72",30.4,
1907,Oats,,34.44,801.14,23.3,
1908,Oats,,34.31,829.31,24.2,
1909,Oats,,35.06,"1,013.91",28.9,
1910,Oats,,36.84,"1,106.16",30,
1911,Oats,,37.15,885.53,23.8,
1912,Oats,,37.24,"1,353.27",36.3,
1913,Oats,,37.25,"1,039.13",27.9,
1914,Oats,,37.21,"1,066.33",28.7,
1915,Oats,,38.8,"1,435.27",37,
1916,Oats,,39.1,"1,138.97",29.1,
1917,Oats,,41.6,"1,442.52",34.7,
1918,Oats,,42.46,"1,428.61",33.6,
1919,Oats,,39.6,"1,106.60",27.9,
1920,Oats,,42.73,"1,444.29",33.8,
1921,Oats,,45.54,"1,045.27",23,
1922,Oats,,40.32,"1,147.91",28.5,
1923,Oats,,40.25,"1,227.18",30.5,
1924,Oats,,41.86,"1,416.12",33.8,
1925,Oats,,44.24,"1,405.27",31.8,
1926,Oats,43.94,42.85,"1,152.91",26.9,
1927,Oats,40.53,40.35,"1,093.22",27.1,
1928,Oats,40.24,40.13,"1,312.91",32.7,
1929,Oats,40.53,38.15,"1,112.95",29.2,
1930,Oats,42.61,39.85,"1,274.59",32,
1931,Oats,44.48,40.19,"1,124.23",28,
1932,Oats,45.55,41.7,"1,254.58",30.1,
1933,Oats,43.77,36.53,736.31,20.2,
1934,Oats,40.47,29.46,544.25,18.5,
1935,Oats,43.6,40.11,"1,210.23",30.2,
1936,Oats,41.93,33.65,792.58,23.6,
1937,Oats,39.83,35.54,"1,176.74",33.1,
1938,Oats,39.39,36.04,"1,089.38",30.2,
1939,Oats,38.2,33.46,957.7,28.6,
1940,Oats,39.32,35.43,"1,246.45",35.2,
1941,Oats,41.84,38.16,"1,182.51",31,
1942,Oats,43.02,38.2,"1,342.68",35.2,
1943,Oats,43.47,38.91,"1,139.83",29.3,
1944,Oats,44.14,39.74,"1,149.24",28.9,
1945,Oats,46.03,41.74,"1,523.85",36.5,
1946,Oats,46.52,42.81,"1,477.57",34.5,
1947,Oats,42.06,37.86,"1,176.14",31.1,
